lsoa11cd,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007682,2.22222222222222,0.833333333333333,1.73611111111111,1.1805555555555556,93.65322701407608,45.138888888888886,2.0833333333333335,5.555555555555555,72.91666666666666,13462,19382,74
E01007683,1.53524075366364,0.0697836706210747,2.37264480111654,0.34891835310537334,94.48486421652626,34.89183531053734,0.6978367062107467,0.6978367062107467,42.568039078855556,21364,11480,36
E01007684,3.25752919483712,0.676090964966195,2.76582667486171,0.9834050399508296,93.85037752968081,68.83835279655808,9.834050399508296,12.292562999385371,145.66687154271665,20464,12380,45
E01007685,1.39178844815588,0.208768267223382,1.94850382741823,0.41753653444676403,94.41624603518487,57.06332637439109,7.6548364648573415,4.8712595685455815,121.78148921363952,23303,9541,26
E01007686,2.47000705716302,1.41143260409315,2.25829216654905,1.1997177134791814,93.63406485615245,112.91460832745237,4.940014114326042,3.5285815102328866,192.66055045871562,25414,7430,16
E01007687,1.92837465564738,0.413223140495868,1.10192837465565,0.8264462809917356,94.0073362886399,61.294765840220386,7.575757575757576,11.707988980716253,110.88154269972452,15730,17114,64
E01007688,1.81945416375087,0.139958012596221,1.46955913226032,0.06997900629811056,94.76380356333352,51.08467459762071,6.997900629811057,1.3995801259622112,67.87963610916725,19114,13730,52
E01007689,1.95185426154847,0.715679895901106,1.36629798308393,0.9759271307742355,93.8578554388574,20.169160702667533,3.2530904359141184,1.3012361743656475,35.7839947950553,22378,10466,32
E01007690,2.85888077858881,1.21654501216545,3.1021897810219,1.2773722627737227,93.55641030685791,17.639902676399025,3.6496350364963503,3.6496350364963503,41.97080291970803,30591,2253,1
E01007691,1.07579462102689,0.24449877750611199,1.71149144254279,0.4889975550122249,94.34478501461942,18.581907090464547,8.801955990220048,1.466992665036675,46.454767726161364,28115,4729,10
E01007692,1.18499012508229,0.197498354180382,3.2258064516129,0.5266622778143515,94.30712029181728,44.10796576695194,9.216589861751151,0.6583278472679394,80.97432521395655,20746,12098,41
E01007693,2.32774674115456,0.139664804469274,2.70018621973929,0.3258845437616387,94.50789802586999,60.98696461824953,10.242085661080074,4.655493482309125,109.40409683426442,11179,21665,83
E01007694,1.87713310580205,0.455062571103527,3.98179749715586,0.3412969283276451,94.49248564130399,64.84641638225256,12.514220705346986,8.532423208191126,123.43572241183162,6390,26454,117
E01007695,1.74725721251524,0.284437220642015,2.31613165379927,0.5282405526208858,94.30554201701075,51.60503860219423,10.564811052417717,2.438033319788704,114.58756603006907,16892,15952,60
E01007696,1.21786197564276,0.06765899864682,2.0297699594046,0.06765899864682003,94.76612357098482,29.76995940460081,6.089309878213802,3.3829499323410013,64.95263870094723,17760,15084,58
E01007697,0.634115409004439,0,1.20481927710843,0.12682308180088775,94.70695948783074,73.5573874445149,8.243500317057704,7.609384908053266,116.0431198478123,4330,28514,128
E01007698,1.7139090309822,0,1.6479894528675,0.3955174686882004,94.43826510094344,71.19314436387607,6.591957811470007,7.910349373764008,117.33684904416612,17428,15416,59
E01007699,3.99780941949617,0.492880613362541,3.50492880613363,1.095290251916758,93.73849231771487,65.1697699890471,9.309967141292441,4.928806133625411,163.7458926615553,10561,22283,88
E01007700,3.25427468284611,0.275785990071704,2.81301709873138,0.6067291781577496,94.22705339147389,40.26475455046884,9.376723662437948,3.309431880860452,76.66850523993381,21432,11412,35
E01007701,3.07599517490953,0.542822677925211,3.13630880579011,0.6634499396863691,94.17033262994526,86.248492159228,9.650180940892641,6.031363088057901,140.5307599517491,6575,26269,115
